場所コード,場所名称,場所略称,場所検索名称,郵便番号,住所１,住所２,住所３,電話番号,担当者,備考,方面１コード,方面１名称,方面２コード,方面２名称,使用停止フラグ,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"0002743","栄楽館","栄楽館","ｴｲﾗｸｶﾝ","","福島県郡山市熱海町熱海4-47","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002744","ｽﾌﾟﾘﾝｸﾞｶﾞｰﾃﾞﾝ　あさか","ｽﾌﾟﾘﾝｸﾞｶﾞｰﾃﾞﾝ　あさ","ｽﾌﾟﾘﾝｸﾞ","","福島県郡山市安積町笹川字目光池の西10-1","","","024-937-3737","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002745","三菱製鋼　広田製作所","三菱製鋼　広田製作所","ﾐﾂﾋﾞｼｾｲｺｳ","","福島県会津若松市河東町広田字上沢目丙","475-1","","0242-75-3111","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002746","大津屋　福島","大津屋　福島","ｵｵﾂﾔﾌｸｼﾏ","","福島県郡山市冨久山町久保田字古坦118","","","0249-44-1075","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002747","西白河病院","西白河病院","ﾆｼｼﾗｶﾜﾋﾞｮｳ","","福島県西白河郡矢吹町井戸尻445","","","0248-42-3771","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002748","東山第一ホテル","東山第一ホテル","ﾋｶﾞｼﾔﾏ","","福島県会津若松市東山湯本下原257-3","","","0242-26-8585","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002749","熱海温泉事業所","熱海温泉事業所","ｱﾀﾐｵﾝｾﾝ","","福島県郡山市熱海町熱海5-26","","","024-98-2688","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002750","菊地商会","菊地商会","ｷｸﾁｼｮｳｶｲ","","福島県南会津郡会津町田島字東荒川甲2498-1","","","0241-62-0544","","","","","","","0","20180718","230157","SYSTEM","20181221","132023","000001"
"0002751","特別養護老人ホーム　只見","特別養護老人ホーム","ﾄｸﾍﾞﾂﾖｳｺﾞ","","福島県南会津群只見町長浜唱平31","","","0241-84-7550","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002752","さいたま市立舘岩少年自然の家","さいたま市立舘岩少年","ｻｲﾀﾏｼﾘﾂ","","福島県南会津郡南会津町宮里向山2847","","","0241-78-2311","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002753","東京丸善工業","東京丸善工業","ﾄｳｷｮｳﾏﾙｾﾞﾝ","","福島県須賀川市横山町111","","","0248-72-1755","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002754","古藤工業","古藤工業","ﾌﾙﾄｳｺｳｷﾞｮｳ","","福島県いわき市好間工業団地12-1","","","0246-36-7151","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002755","SSKセールス　喜多方工場","SSKセールス　喜多方","ｴｽｴｽｹｲ","","福島県喜多方市字清水台二丁目75","","","0241-22-1234","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002756","枝雪零苑特別養護老人ホーム","枝雪零苑特別養護老人","ｼｽﾞﾘｴﾝﾄｸﾍﾞ","","福島県会津若松市一箕町大字松長字下長原","152","","0242-39-2777","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002757","東北リズム","東北リズム","ﾄｳﾎｸﾘｽﾞﾑ","","福島県会津若松市門田町一ノ堰土手外168","","","0242-28-8074","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002758","裏磐梯ﾗｲｼﾞﾝｸﾞｻﾝﾎﾃﾙ　ホテル白雲荘","裏磐梯ﾗｲｼﾞﾝｸﾞｻﾝﾎﾃﾙ","ｳﾗﾊﾞﾝﾀﾞｲﾗｲ","","福島県耶麻郡北塩原村檜原小野川原1092","","","0241-32-2311","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002759","ヤスダ縫製","ヤスダ縫製","ﾔｽﾀﾞ","","福島県須賀川市小作田字鍛治分15","","","0248-79-2173","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002760","米沢電線　郡山工場","米沢電線　郡山工場","ﾖﾈｻﾞﾜﾃﾞﾝｾﾝ","","福島県郡山市日和田町高倉字矢沢道1-1","","","024-958-2220","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002761","佐藤クリーニング　第二工場","佐藤クリーニング　第","ｻﾄｳｸﾘｰﾆﾝｸﾞ","","福島県会津若松市真宮新町3-37","","","0242-58-3666","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002762","東北ミドリ安全工業","東北ミドリ安全工業","ﾄｳﾎｸﾐﾄﾞﾘ","","福島県石川郡石川町鹿ノ坂137","","","0247-26-3171","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002763","福島県立田島高等学校","福島県立田島高等学校","ﾌｸｼﾏｹﾝﾘﾂﾀｼ","","福島県南会津郡南会津町田島田部原260","","","0241-62-0066","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0002764","ルナール　健康増進運動施設","ルナール　健康増進運","ﾙﾅｰﾙ","","福島県喜多方市関柴町上高額字広面657-10","","","0241-24-3335","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005218","大日本印刷　大利根","大日本印刷　大利根","ﾀﾞｲﾆﾎ","","大日本印刷　大利根","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005219","日本大昭和板紙　東北","日本大昭和板紙　東北","ﾀﾞｲｼｮ","","日本大昭和板紙　東北","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005220","日本メクトロン","日本メクトロン","ﾆﾎﾝﾒｸ","","日本メクトロン","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005221","ルネサステクノロジ","ルネサステクノロジ","ﾙﾈｻｽ","","ルネサステクノロジ","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005222","硬化クロ-ム","硬化クロ-ム","ｺｳｶｸﾛ","","硬化クロ-ム","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005223","三洋メディカル","三洋メディカル","ｻﾝﾖｳﾒ","","三洋メディカル","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005224","千葉県水道局　柏井浄水場","千葉県水道局　柏井浄","ｶｼﾜｲｼﾞｮｳｽｲ","","千葉県水道局　柏井浄水場","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005225","日本カニゼン","日本カニゼン","ﾆﾎﾝｶﾆ","","日本カニゼン","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005226","ダイワ化成","ダイワ化成","ﾀﾞｲﾜ","","ダイワ化成","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005227","エヌ・イー・ケムキャット","エヌ・イー・ケムキャ","ｴﾇｲｰｹﾑｷｬｯﾄ","","エヌ・イー・ケムキャット","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005228","清水市北部浄化センター","清水市北部浄化センタ","ｼﾐｽﾞｼﾎｸﾌﾞｼ","","清水市北部浄化センター","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005229","松田産業","松田産業","ﾏﾂﾀﾞｻﾝｷﾞｮｳ","","松田産業","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005230","フルヤ金属　つくば","フルヤ金属　つくば","ﾌﾙﾔｷﾝｿﾞｸﾂｸ","","フルヤ金属　つくば","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005231","アーム電子","アーム電子","ｱｰﾑﾃﾞﾝｼ","","アーム電子","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005232","日曹金属化学","日曹金属化学","ﾆｯｿｳｷﾝｿﾞｸｶ","","日曹金属化学","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005233","川口市・朝日環境","川口市・朝日環境","ｶﾜｸﾞﾁｼｱｻﾋｶ","","川口市・朝日環境","","","","","","","","","","0","20180718","230157","SYSTEM","20220426","141009","000003"
"0005234","吉崎メッキ","吉崎メッキ","ﾖｼｻﾞｷﾒｯｷ","","吉崎メッキ","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005235","新和エコー　上口工場","新和エコー　上口工場","ｼﾝﾜｴｺｰｶﾐｸﾁ","","新和エコー　上口工場","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005236","ファルテック","ファルテック","ﾌｧﾙﾃｯｸ","","ファルテック","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005237","山形市浄化センター前明石処理場","山形市浄化センター前","ﾔﾏｶﾞﾀｼｼﾞｮｳ","","山形市浄化センター前明石処理場","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005238","高砂ケミカル","高砂ケミカル","","","高砂ケミカル","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005239","ダイヤテック","ダイヤテック","ﾀﾞｲﾔﾃｯｸ","","ダイヤテック","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005240","アルバックマテリアル","アルバックマテリアル","ｱﾙﾊﾞｯｸﾏﾃﾘｱ","","アルバックマテリアル","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005242","倉賀野工業団地","倉賀野工業団地","ｸﾗｶﾞﾉｺｳｷﾞｮ","","倉賀野工業団地","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005243","クレハ　いわき","クレハ　いわき","ｸﾚﾊｲﾜｷ","","クレハ　いわき","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005244","首都高本町換気所","首都高本町換気所","ｼｭﾄｺｳﾎﾝﾁｮｳ","","首都高本町換気所","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005245","伊勢化学　ＫＡ基地","伊勢化学　ＫＡ基地","ｲｾｶｶﾞｸｹｲｴｲ","","伊勢化学　ＫＡ基地","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005246","フルヤ金属　土浦","フルヤ金属　土浦","ﾌﾙﾔｷﾝｿﾞｸﾂﾁ","","フルヤ金属　土浦","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005247","日本天然ガス","日本天然ガス","ﾆﾎﾝﾃﾝﾈﾝｶﾞｽ","","日本天然ガス","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005248","トッパングラフィック","トッパングラフィック","ﾄｯﾊﾟﾝｸﾞﾗﾌｨ","","トッパングラフィック","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005249","臼井国際長沢西","臼井国際長沢西","ｳｽｲｺｸｻｲﾅｶﾞ","","臼井国際長沢西","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005250","伊勢BDプラント","伊勢BDプラント","ｲｾﾋﾞｰﾃﾞｰ","","伊勢BDプラント","","","","","","","","","","0","20180718","230157","SYSTEM","20220509","102327","000003"
"0005251","東亜石油","東亜石油","ﾄｳｱｾｷﾕ","","東亜石油","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005252","三井商事","三井商事","ﾐﾂｲｼｮｳｼﾞ","","三井商事","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005253","資生ケミカル","資生ケミカル","ｼｾｲｹｲﾐｶﾙ","","資生ケミカル","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005254","臼井国際産業　柿田","臼井国際産業　柿田","ｳｽｲｺｸｻｲｻﾝｷ","","臼井国際産業　柿田","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005255","石福金属","石福金属","ｲｼﾌｸｷﾝｿﾞｸ","","石福金属","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005256","飯田","飯田","ｲｲﾀﾞ","","飯田","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005257","大井北換気所","大井北換気所","ｵｵｲｷﾀ","","大井北換気所","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0005258","大同工業","大同工業","ﾀﾞｲﾄﾞｳｺｳｷﾞ","","大同工業","","","","","","","","","","0","20180718","230157","SYSTEM","20220509","102351","000003"
"0009001","西船車庫","西船車庫","ﾆｼﾌﾅ","","西船車庫","","","","","","0001","全国","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0009002","東扇島","東扇島","ﾋｶﾞｼ","","東扇島","","","","","","0001","全国","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0009003","中防","中防","ﾁｭｳﾎﾞｳ","","中防","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0009004","富士フィルム　小田原","富士フィルム　小田原","ﾌｼﾞﾌｨﾙﾑ","","富士フィルム　小田原","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0009006","日立化成㈱","日立化成㈱","ﾋﾀﾁｶｾｲ","","日立化成㈱","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0009007","昭和電工","昭和電工","ｼｮｳﾜﾃﾞﾝｺｳ","","昭和電工","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0009008","エフシーシー","エフシーシー","ｴﾌｼｰｼｰ","","エフシーシー","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0009009","大商化成","大商化成","ﾀﾞｲｼｮｳｶｾｲ","332-0004","埼玉県川口市領家５丁目７－２９","","","","","","","","","","0","20180718","230157","SYSTEM","20220302","103351","000005"
"0009010","ｴｽｹｰ化研㈱　九州工場","ｴｽｹｰ化研","ｴｽｹｰ","","エスケー化研","","","","","","","","","","0","20180718","230157","SYSTEM","20181005","163111","000007"
"0009011","BASFジャパン　戸塚","BASFジャパン　戸塚","ﾋﾞ","","BASFジャパン　戸塚","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0010010","宮城富士アスコン","宮城富士アスコン","ﾐﾔｷﾞﾌｼﾞｱｽｺﾝ","","宮城県石巻市和渕字北和渕1-7-3","","","0225-72-4081","","","","","","","0","20180718","230157","SYSTEM","20180730","134538","000001"
"0010011","出光（塩釜）","出光（塩釜）","ｲﾃﾞﾐﾂ","","出光（塩釜）","","","","","","","","","","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"0010013","日東ベスト（山形工場）","日東ベスト（山形工場","ﾆｯﾄｳﾍﾞｽﾄ","","山形県山形市大字漆山1784","","","023-686-9411","","","","","","","0","20180718","230157","SYSTEM","20180730","134656","000001"
"0010015","長井工業高等学校","長井工業高等学校","ﾅｶﾞｲｺｳｷﾞｮｳｺｳﾄｳｶﾞｯｺｳ","","山形県長井市幸町9番17号","","","0238-84-1662","","","","","","","0","20180718","230157","SYSTEM","20180730","134744","000001"
"0010016","長井市学校給食調理場","長井市学校給食調理場","ﾅｶﾞｲｼｶﾞｯｺｳｷｭｳｼｮｸ","","山形県長井市清水町2-2-22","","","0238-84-2019","","","","","","","0","20180718","230157","SYSTEM","20180730","134817","000001"
"0010018","中林米菓","中林米菓","ﾅｶﾊﾞﾔｼﾍﾞｲｶ","","岩手県奥州市胆沢区小山字北長壇170-1","","","0197-47-2111","","","","","","","0","20180718","230157","SYSTEM","20180730","134945","000001"
"0010021","ニクニ白鷹","ニクニ白鷹","ﾆｸﾆｼﾛﾀｶ","","山形県西置賜郡白鷹町大字横田尻1367","","","0238-85-5811","","","","","","","0","20180718","230157","SYSTEM","20180730","135035","000001"
"0010023","日米商事","日米商事","ﾆﾁﾍﾞｲｼｮｳｼﾞ","","山形県山形市大字青柳一本木85","","","023-687-5555","","","","","","","0","20180718","230157","SYSTEM","20180730","135057","000001"
"0010024","ニチレイフーズ　白石工場","ニチレイフーズ　白石","ﾆﾁﾚｲﾌｰｽﾞ","","宮城県白石市白鳥1丁目","","","0224-25-7184","","","","","","","0","20180718","230157","SYSTEM","20180730","135116","000001"
"0010027","日東ベスト (大谷工場)","日東ベスト (大谷工場","ﾆｯﾄｳﾍﾞｽﾄｵｵﾀﾆ","","山形県西村山郡朝日町馬神字昭和新田75","","","0237-68-2311","","","","","","","0","20180718","230157","SYSTEM","20180730","135157","000001"
"0010028","日東ベスト（寒河江工場）","日東ベスト（寒河江工","ﾆｯﾄｳﾍﾞｽﾄｻｶｴ","","山形県寒河江市幸町4-27","","","0237-86-3165","","","","","","","0","20180718","230157","SYSTEM","20180730","135146","000001"
"0010033","蔵王食品","蔵王食品","ｻﾞｵｳｼｮｸﾋﾝ","","山形県上山市矢来4丁目2-3","","","023-672-2121","","","","","","","0","20180718","230157","SYSTEM","20180730","135220","000001"
"0010034","イハラ建成工業　仙台事業所","イハラ建成工業　仙台","ｲﾊﾗｹﾝｾｲｺｳｷﾞｮｳｾﾝﾀﾞｲ","","宮城県栗原郡瀬峰町藤沢字新田沢47-3","","","0228-38-3171","","","","","","","0","20180718","230157","SYSTEM","20180730","135241","000001"
"0010037","日東ベスト　本楯工場","日東ベスト　本楯工場","ﾆｯﾄｳﾍﾞｽﾄﾎﾝﾀﾃ","","山形県寒河江市本楯2-3473-1","","","0237-86-4218","","","","","","","0","20180718","230157","SYSTEM","20180730","135315","000001"
"0010038","クレアネイト一関事業所　第一工場","クレアネイト第一工場","ｸﾚｱﾈｲﾄﾀﾞｲｲﾁｺｳｼﾞｮｳ","","岩手県一関市東台14-25","","","0191-23-8161","","","","","","","0","20180718","230157","SYSTEM","20230329","093240","000006"
"0010041","南岩手共同管理","南岩手共同管理","ﾐﾅﾐｲﾜﾃｷｮｳﾄﾞｳｶﾝﾘ","","岩手県北上市和賀町仙人1地割9-4","","","0197-74-2117","","","","","","","0","20180718","230157","SYSTEM","20180730","135455","000001"
"0010043","沖データ","沖データ","ｵｷﾃﾞｰﾀ","","福島県福島市庄野字立田1-1","","","024-594-2254","","","","","","","0","20180718","230157","SYSTEM","20180730","135508","000001"
"0010045","仙台総合鉄道部","仙台総合鉄道部","ｾﾝﾀﾞｲｿｳｺﾞｳﾃﾂﾄﾞｳﾌﾞ","","宮城県仙台市宮城野区小鶴燕沢字前塚82-1","","","022-253-1181","","","","","","","0","20180718","230157","SYSTEM","20180730","135529","000001"
"0010046","三和缶詰　天童工場","三和缶詰　天童工場","ｻﾝﾜｶﾝﾂﾞﾒﾃﾝﾄﾞｳ","","山形県天童市大字清池字権現堂455","","","023-655-2244","","","","","","","0","20180718","230157","SYSTEM","20180730","135547","000001"
"0010047","三和缶詰　本社","三和缶詰　本社","ｻﾝﾜｶﾝﾂﾞﾒﾎﾝｼｬ","","山形県東村山郡山中町大字長崎229-2","","","023-662-3104","","","","","","","0","20180718","230157","SYSTEM","20180730","135605","000001"
"0010049","イオンリテール　イオン東根店","イオンリテール　イオ","ｲｵﾝﾘﾃｰﾙｲｵﾝﾋｶﾞｼﾈ","","山形市東根市さくらんぼ駅前三丁目7番15号","","","0237-41-1585","","","","","","","0","20180718","230157","SYSTEM","20180730","135631","000001"
"0010050","ケミコン岩手","ケミコン岩手","ｹﾐｺﾝｲﾜﾃ","","岩手県北上市和賀町仙人2地割7番地15","","","0197-74-2224","","","","","","","0","20180718","230157","SYSTEM","20180730","135721","000001"
"0010052","ケミコン山形","ケミコン山形","ｹﾐｺﾝﾔﾏｶﾞﾀ","","山形県長井市幸町1-1","","","0238-84-2132","","","","","","","0","20180718","230157","SYSTEM","20180730","135741","000001"
"0010053","ＪＣＨＯ仙台病院","ＪＣＨＯ仙台病院","ｼﾞｪｲｺｰｾﾝﾀﾞｲﾋﾞｮｳｲﾝ","","宮城県仙台市青葉区堤町3丁目16-1","","","022-275-3111","","","","","","","0","20180718","230157","SYSTEM","20180730","140043","000001"
"0010055","前田道路　一関合材工場","前田道路　一関合材工","ﾏｴﾀﾞﾄﾞｳﾛｲﾁﾉｾｷ","","岩手県一関市真柴字藤後沢70-4","","","0191-26-4536","","","","","","","0","20180718","230157","SYSTEM","20180730","140107","000001"
"0010056","前田道路　気仙沼合材工場","前田道路　気仙沼合材","ﾏｴﾀﾞﾄﾞｳﾛｹｾﾝﾇﾏ","","宮城県気仙沼市赤岩大滝8","","","0226-22-7359","","","","","","","0","20180718","230157","SYSTEM","20180730","140122","000001"
"0010058","前田道路　仙台合材工場","前田道路　仙台合材工","ﾏｴﾀﾞﾄﾞｳﾛｾﾝﾀﾞｲ","","宮城県亘理郡亘理町逢隈小山字西山15-1","","","0223-34-3361","","","","","","","0","20180718","230157","SYSTEM","20180730","140145","000001"
"0010059","共同企業体福島県北ｱｽｺﾝ","共同企業体福島県北ｱｽ","ｷｮｳﾄﾞｳｷｷﾞｮｳﾀｲﾌｸｼﾏ","","福島県伊達郡桑折町伊達崎字出ツ62-1","","","0245-75-2311","","","","","","","0","20180718","230157","SYSTEM","20180730","140209","000001"
"0010060","共同企業体みやぎ大崎アスコン","共同企業体みやぎ大崎","ｷｮｳﾄﾞｳｷｷﾞｮｳﾀｲﾐﾔｷﾞ","","宮城県大崎市古川清水字新今新田59-1","","","0229-36-1531","","","","","","","0","20180718","230157","SYSTEM","20180730","140246","000001"
"0010061","山形建設","山形建設","ﾔﾏｶﾞﾀｹﾝｾﾂ","","山形県天童市清池字立谷川771","","","0236-55-2226","","","","","","","0","20180718","230157","SYSTEM","20180730","140301","000001"
"0010062","小林　川俣倉庫","小林　川俣倉庫","ｺﾊﾞﾔｼｶﾜﾏﾀｿｳｺ","","福島県伊達郡川俣町飯坂字古中道1","","","024-565-3341","","","","","","","0","20180718","230157","SYSTEM","20180730","140322","000001"
