取引先コード,取引先名称１,取引先名称２,取引先略称,取引先検索名称,郵便番号,住所１,住所２,住所３,電話番号,ＦＡＸ番号,資本金(百万円),担当者,メールアドレス,社内外取引区分,社内外取引区分名称,法人コード,請求担当部門コード,請求担当部門略称,請求締日区分,請求締日区分名称,請求残高印字区分,請求残高印字区分名称,入金入力有無区分,入金入力有無区分名称,請求自社情報コード,請求自社情報名称,請求書定義No,請求書定義略称,回収月,回収日,支払担当部門コード,支払担当部門略称,支払締日区分,支払締日区分名称,支払残高印字区分,支払残高印字区分名称,支払入力有無区分,支払入力有無区分名称,支払自社情報コード,支払自社情報名称,支払通知書定義No,支払通知書定義略称,支払月,支払日,備考１,備考２,備考３,備考４,備考５,使用停止フラグ,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"00133","朝日化学工業(株)　東京支店","","朝日化学工業(株)","ｱｻﾋｶｶﾞｸｺｳｷ","103-0016","東京都中央区日本橋小網町1-8","","","03-6837-9270","03-6837-9272","0","","","1","社外","","02","小名浜営業所","6","末日締","1","なし","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","","02","小名浜営業所","6","末日締","1","なし","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180817","104058","000002"
"00134","大郷運輸株式会社","","大郷運輸　その他","ｵｵｻﾄｳﾝﾕ","985-0011","宮城県塩釜市貞山通三丁目20-1","","","022-361-0323","022-361-0320","0","","","1","社外","","06","仙台営業所","6","末日締","1","なし","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","","06","仙台営業所","6","末日締","1","なし","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20210514","141507","000099"
"00136","(株)岩田商会　仙台営業所","","(株)岩田商会　仙","ｲﾜﾀｼｮｳｶｲ","983-0852","宮城県仙台市宮城野区榴岡2-2-11","パスコ仙台ビル9Ｆ","","022-292-2270","022-292-2275","0","","","1","社外","","02","小名浜営業所","6","末日締","0","残高印字あり","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","0","02","小名浜営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00137","メタル便","","メタル便","ﾒﾀﾙ","","","","","","","0","","","1","社外","","02","小名浜営業所","6","末日締","0","残高印字あり","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","0","02","小名浜営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00024","堺化学工業（株）小名浜事業所","","堺化学工業(株)","ｻｶｲｶｶﾞｸ","971-8183","いわき市泉町下川字田宿110","","","0246-56-5111","","0","","","1","社外","","02","小名浜営業所","6","末日締","0","残高印字あり","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","0","02","小名浜営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00027","日化トレーディング株式会社","","日化ﾄﾚｰﾃﾞｨﾝｸﾞ㈱","ﾆｯｶﾄﾚｰﾃﾞｨ","971-8101","いわき市小名浜隼人50番地の4","","","0246-53-4222","0246-53-4658","0","","","1","社外","","02","小名浜営業所","6","末日締","0","残高印字あり","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","0","02","小名浜営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00003","日本軽金属㈱","","日本軽金属㈱","ﾆﾎﾝｹｲｷﾝｿﾞｸ","975-0034","福島県原町市上渋佐字原田140","","","0244-22-4822","0244-24-6448","0","","","1","社外","","02","小名浜営業所","5","25日締","0","残高印字あり","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","2","0","02","小名浜営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00001","クレハ運輸株式会社","いわき物流センター","クレハ運輸　請求","ｸﾚﾊｳﾝﾕ","974-8232","福島県いわき市錦町落合16","","","0246-63-2043","0246-53-2087","0","","","1","社外","","02","小名浜営業所","6","末日締","1","なし","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","","02","小名浜営業所","6","末日締","1","なし","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20231208","113837","000002"
"00039","株式会社丸運トランスポート東日本","東北支店　小名浜営業所","丸運ﾄﾗﾝｽﾎﾟｰﾄ請求","ﾏﾙｳﾝﾄﾗﾝｽﾎﾟ","971-8183","福島県いわき市泉町下川大剣1-52","","","0246-75-0688","","0","","","1","社外","","02","小名浜営業所","6","末日締","1","なし","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","","02","小名浜営業所","6","末日締","1","なし","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180817","103953","000001"
"00002","(株)日新","","㈱日新　請求","ﾆｯｼﾝｾｲｷｭｳ","230-0053","横浜市鶴見区大黒町8-1","鶴見倉庫(株)物流センター内","","045-521-7011","045-521-7020","0","","","1","社外","","02","小名浜営業所","6","末日締","1","なし","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","","02","小名浜営業所","6","末日締","1","なし","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180817","104001","000002"
"00046","クレハ運輸㈱訂正分","","クレハ運輸訂正分","ｸﾚﾊｳﾝﾕ","","","","","","","0","","","1","社外","","02","小名浜営業所","6","末日締","0","残高印字あり","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","0","02","小名浜営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00047","株式会社丸運トランスポート東日本","東北支店　小名浜営業所","丸運　その他","ﾏﾙｳﾝﾄﾗﾝｽｿﾉ","985-0804","福島県いわき市泉町下川大剣1-52","","","0246-75-0688","","0","","","1","社外","","02","小名浜営業所","6","末日締","1","なし","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","","02","小名浜営業所","6","末日締","1","なし","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180817","104133","000001"
"00048","タンク洗浄","","タンク洗浄","ﾀﾝｸｾﾝ","","","","","","","0","","","1","社外","","02","小名浜営業所","6","末日締","0","残高印字あり","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","0","02","小名浜営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00049","若林運送（株）","","若林運送（株）","ﾜｶﾊﾞﾔ","132-0025","東京都江戸川区松江5-22-1","","","03-3680-6301","03-3680-6335","0","","","1","社外","","02","小名浜営業所","6","末日締","0","残高印字あり","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","0","02","小名浜営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00050","回送","","回送","ｶｲｿｳ","","","","","","","0","","","1","社外","","06","仙台営業所","6","末日締","0","残高印字あり","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","","06","仙台営業所","6","末日締","1","なし","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20210419","131829","000006"
"00051","吉田化学工業株式会社","","吉田化学","ﾖｼﾀﾞ","111-0023","東京都台東区橋場2-19-4","","","03-3875-0617","03-3875-0686","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","0","","01","東京営業所","6","末日締","1","なし","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20181009","132722","000003"
"00052","東曹産業株式会社","営業部流通課","東曹産業","ﾄｳｿｳｻﾝｷﾞｮｳ","102-0074","東京都千代田区九段南4丁目8番8号","九段ポンピアンビル5階","","03-3265-2721","03-3265-2726","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","0","0","01","東京営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00053","株式会社　丸運　千葉化成品営業所","","丸運千葉化成品","ﾏﾙｳﾝﾁﾊﾞｶｾｲ","261-0002","千葉県千葉市美浜区新港141-1","","","043-243-0399","043-243-0453","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","0","0","01","東京営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00060","呉羽運輸（株）鹿島（営）","","呉羽運輸　鹿島","ｸﾚﾊｶｼ","","","","","","","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","0","0","01","東京営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00068","日新産業㈱","","日新産業㈱","ﾆｯｼﾝｻ","","","","","","","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","0","0","01","東京営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00073","信越化学工業株式会社","","信越化学工業株式","ｼﾝｴﾂｶｶﾞｸ","100-0004","東京都千代田区大手町","2-6-1","","03-3246-5081","","0","","","1","社外","","07","川崎営業所","6","末日締","1","なし","0","入金入力あり","01","自社","005","請求書A4 1行明細縦","0","","07","川崎営業所","6","末日締","1","なし","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20190206","154948","000004"
"00074","信越化学工業株式会社","九州地区","信越化学九州","ｼﾝｴﾂｶｶﾞｸｷｭ","100-0004","東京都千代田区大手町","2-6-1","","03-3246-5081","","0","","","1","社外","","08","九州営業所","6","末日締","1","なし","0","入金入力あり","01","自社","006","請求書A4 1行明細縦九","0","","08","九州営業所","6","末日締","1","なし","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20181102","155158","000007"
"00000","若林運送株式会社","","（自社）","ｼﾞｼｬ","","","","","","","0","","","2","社内","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","","","01","東京営業所","6","末日締","0","残高印字あり","0","支払入力あり","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20150514","115904","000001","20180718","112002","000002"
"00092","品川倉庫運輸株式会社","","品川倉庫運輸株式","ｼﾅｶﾞﾜｿｳｺｳﾝ","132-0025","東京都江戸川区松江5丁目22番1号","","","03-3680-8262","03-3680-6386","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","0","0","01","東京営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00093","富士興産株式会社","","富士興産株式会社","ﾌｼﾞｺｳｻﾝ","136-0071","東京都江東区亀戸1丁目36番8号","新亀戸ﾋﾞﾙﾁﾞﾝｸﾞ５階","","03-6861-5990","03-6861-5992","0","","","1","社外","","02","小名浜営業所","6","末日締","0","残高印字あり","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","0","0","02","小名浜営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00094","株式会社メタル便","","メタル便","ﾒﾀﾙﾋﾞﾝ","","","","","","","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","0","0","01","東京営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"99999","デジタコデータ","","デジタコデータ","ﾃﾞｼﾞﾀｺ","","","","","","","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","0","0","01","東京営業所","6","末日締","1","しない","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"10001","呉羽運輸　調整額","","呉羽運輸　調整額","ｸﾚﾊﾃｲ","","","","","","","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","","","01","東京営業所","6","末日締","0","残高印字あり","0","支払入力あり","01","自社","001","支払通知書A4 1行明細形式","1","31","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"10011","北部運送㈱","","北部運送㈱","ﾎｸﾌﾞｳ","971-8183","いわき市泉町下川53-7","","","0246-56-6155","0246-56-6165","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","","","01","東京営業所","6","末日締","0","残高印字あり","0","支払入力あり","01","自社","001","支払通知書A4 1行明細形式","0","0","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"10012","㈱アサミズ運輸","","アサミズ運輸","ｱｻﾐｽﾞ","971-8125","いわき市小名浜島字渡地57","","","0246-44-1025","0246-44-1018","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","","","01","東京営業所","6","末日締","0","残高印字あり","0","支払入力あり","01","自社","001","支払通知書A4 1行明細形式","0","0","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"10013","大郷運輸㈱","","大郷運輸㈱","ｵｵｻﾄｳ","971-8184","いわき市泉町黒須野字砂利59-15","","","0246-56-6077","0246-56-6078","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","","","01","東京営業所","6","末日締","0","残高印字あり","0","支払入力あり","01","自社","001","支払通知書A4 1行明細形式","0","0","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"10014","昭和運輸（株）","","昭和運輸（株）","ｼｮｳﾜｳﾝﾕ","975-0042","福島県南相馬市原町区雫字聖下259-2","","","0244-24-1522","0244-22-6444","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","","","01","東京営業所","6","末日締","0","残高印字あり","0","支払入力あり","01","自社","001","支払通知書A4 1行明細形式","0","0","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"10015","株式会社　日新","","株式会社　日新","ﾆｯｼﾝ","102-8350","東京都千代田区三番町五番地","","","03-3238-6563","03-3238-6592","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","","","01","東京営業所","6","末日締","0","残高印字あり","0","支払入力あり","01","自社","001","支払通知書A4 1行明細形式","0","0","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"10016","(有)北神物流","","(有)北神物流","ﾎｸｼﾝﾌﾞﾂﾘｭｳ","","宮城県仙台市宮城野区扇町3丁目4-9","","","022-782-4820","","0","","","1","社外","","02","小名浜営業所","6","末日締","0","残高印字あり","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","","","02","小名浜営業所","6","末日締","0","残高印字あり","0","支払入力あり","01","自社","001","支払通知書A4 1行明細形式","0","0","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"10002","ＪＯＭＯ　調整額","","ＪＯＭＯ　調整額","ｼﾞｮﾓ","","","","","","","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","","","01","東京営業所","6","末日締","0","残高印字あり","0","支払入力あり","01","自社","001","支払通知書A4 1行明細形式","0","0","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"10003","その他","","その他","ｿﾉﾀ","","","","","","","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","","","01","東京営業所","6","末日締","0","残高印字あり","0","支払入力あり","01","自社","001","支払通知書A4 1行明細形式","1","31","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"10051","クレハ運輸　千葉","","クレハ運輸　千葉","ｸﾚﾊｳﾝﾕﾁﾊﾞ","","","","","","","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","","","01","東京営業所","6","末日締","0","残高印字あり","0","支払入力あり","01","自社","001","支払通知書A4 1行明細形式","0","0","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"10052","その他","","その他","ｿﾉﾀ","","","","","","","0","","","1","社外","","01","東京営業所","6","末日締","1","なし","0","入金入力あり","01","自社","101","請求書B4 1行明細形式","","","01","東京営業所","6","末日締","0","残高印字あり","0","支払入力あり","01","自社","001","支払通知書A4 1行明細形式","3","0","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"20379","安藤パラケミー株式会社","","安藤パラケミー㈱","ｱﾝﾄﾞｳﾊﾟﾗｹﾐｰ","812-0011","福岡県福岡市博多区博多駅前3丁目27番25号　第2岡部ビル","","","092-451-8626","092-451-8596","0","","","1","社外","","08","九州営業所","6","末日締","1","なし","0","入金入力あり","01","自社","006","請求書A4 1行明細縦九","","","08","九州営業所","6","末日締","1","なし","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20230927","112227","000007","20231023","125026","000007"
"20380","三井物産ケミカル㈱","","三井物産ケミカル㈱","ﾐﾂｲﾌﾞｯｻﾝｹﾐｶﾙ","812-0025","福岡県福岡市博多区店屋町1-35","博多三井ビル2号館","","092-271-8273","","0","","","1","社外","","08","九州営業所","6","末日締","0","残高印字あり","0","入金入力あり","01","自社","006","請求書A4 1行明細縦九","","","08","九州営業所","6","末日締","0","残高印字あり","0","支払入力あり","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20240116","132816","000007","20240116","132816","000007"
"00146","有限会社　長運輸","","有限会社　長運輸","ﾁｮｳｳﾝﾕ","806-0001","福岡県北九州市八幡西区","築地町18番57号","","093-642-5039","093-641-6394","0","","","1","社外","","08","九州営業所","6","末日締","0","残高印字あり","0","入金入力あり","01","自社","001","請求書A4 2行明細標準","","","08","九州営業所","6","末日締","0","残高印字あり","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20181003","155319","000007","20181003","155319","000007"
"00145","信越化学工業株式会社","九州地区","信越化学　九州","ｼﾝｴﾂｶｶﾞｸｺｳｷﾞｮｳｷｭｳｼｭｳ","","","","","","","0","","","1","社外","","08","九州営業所","6","末日締","1","なし","0","入金入力あり","01","自社","005","請求書A4 1行明細縦","","","08","九州営業所","6","末日締","0","残高印字あり","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180907","160837","000004","20180926","105040","000007"
"09001","株式会社　日陸","九州事業所","株式会社　日陸","ﾆﾁﾘｸ","803-0801","福岡県北九州市小倉北区西港町62-7","","","093-591-8101","093-591-8160","0","","","1","社外","","08","九州営業所","6","末日締","1","なし","0","入金入力あり","01","自社","010","請求書A4 2行明細九州","","","08","九州営業所","6","末日締","0","残高印字あり","0","支払入力あり","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20181105","111435","000007","20181130","170347","000099"
"20211","三菱商事株式会社","","三菱商事株式会社","ﾐﾂﾋﾞｼｼｮｳｼﾞ","100-8086","東京都千代田区丸の内2-6-1","丸の内パークビルディング","","03-3210-5525","03-3210-5132","0","","","1","社外","","07","川崎営業所","6","末日締","1","なし","0","入金入力あり","01","自社","005","請求書A4 1行明細縦","","","07","川崎営業所","6","末日締","1","なし","0","支払入力あり","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20190710","103340","000005","20230530","141607","000004"
"00141","京極運輸商事株式会社","","京極運輸商事","ｷｮｳｺﾞｸｳﾝﾕｼｮｳｼﾞ","","","","","","","0","","","1","社外","","07","川崎営業所","6","末日締","1","なし","0","入金入力あり","01","自社","005","請求書A4 1行明細縦","","","07","川崎営業所","6","末日締","1","なし","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20231110","164914","000004","20231110","164914","000004"
"20345","富士化学株式会社","九州工場","富士化学㈱","ﾌｼﾞｶｶﾞｸ","800-0115","北九州市門司区新門司","3-53-1","","093-481-3370","","0","","","1","社外","","08","九州営業所","4","20日締","0","残高印字あり","0","入金入力あり","01","自社","006","請求書A4 1行明細縦九","0","","08","九州営業所","6","末日締","1","なし","1","なし","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20230112","140435","000007","20230314","103802","000004"
"07001","株式会社ニヤクコーポレーション","関東支店","ニヤクコーポ","ﾆﾔｸ","135-0041","東京都江東区冬木14-5","","","","","0","","","1","社外","","07","川崎営業所","6","末日締","1","なし","0","入金入力あり","01","自社","005","請求書A4 1行明細縦","","","07","川崎営業所","6","末日締","0","残高印字あり","0","支払入力あり","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180810","140155","000005","20200120","113224","000003"
"07002","三菱ケミカル株式会社","物流管理チーム","三菱ケミカル株式会社","ﾐﾂﾋﾞｼｹﾐｶﾙ","971-8101","福島県いわき市小名浜字高山34","","","0246-54-3191","0246-54-3243","0","","","1","社外","","07","川崎営業所","6","末日締","1","なし","0","入金入力あり","01","自社","005","請求書A4 1行明細縦","","","07","川崎営業所","6","末日締","0","残高印字あり","0","支払入力あり","01","自社","001","支払通知書A4 1行明細形式","","","","","","","","0","20180810","141451","000005","20190206","160046","000004"
