得意先コード,CD1,取引先略称,CD2,部門略称,CD3,得意先名称１,得意先名称２,得意先略称,得意先検索名称,郵便番号,住所１,住所２,住所３,電話番号,ＦＡＸ番号,担当者,メールアドレス,社内外取引区分,社内外取引区分名称,金額端数単位区分,金額端数単位区分名称,金額端数処理区分,金額端数処理区分名称,運賃区分,運賃区分名称,運賃参照所属会社,運賃参照所属会社名称,運賃参照発地方面,運賃参照発地方面名称,運賃参照発地,運賃参照発地名称,運賃参照着地方面,運賃参照着地方面名称,運賃参照着地,運賃参照着地名称,運賃参照品名,運賃参照品名名称,運賃参照単位,運賃参照単位名称,運賃参照車種,運賃参照車種名称,請求基準区分,請求基準区分名称,請求担当部門コード,請求担当部門略称,名寄得意先コード,名寄得意先略称,請求区分,請求区分名称,請求消費税計算区分,請求消費税計算区分名称,請求消費税端数単位区分,請求消費税端数単位区分名称,請求消費税端数処理区分,請求消費税端数処理区分名称,請求編集単位,請求編集単位名称,請求編集種別,請求編集種別名称,請求自社情報コード,請求自社情報名称,請求書定義No,請求書定義名称,備考１,備考２,備考３,備考４,備考５,使用停止フラグ,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"00000     0200000","00000","","02","小名浜営業所","00000","若林運送株式会社","小名浜営業所","自社","ｼﾞｼｬ","","","","","","","","","2","社内","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","02","小名浜営業所","00000     0200000","自社","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"00140     0700000","00140","","07","川崎営業所","00000","株式会社ＴＳトランスポート","","株式会社ＴＳトランス","ﾃｲｴｽﾄﾗﾝｽﾎﾟｰﾄ","","","","","","","","","1","社外","0","1円未満","0","切捨","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","07","川崎営業所","00140     0700000","株式会社ＴＳトランス","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20180822","115336","000099","20181003","142639","000099"
"00107     0200000","00107","","02","小名浜営業所","00000","乙羽運送㈱","","乙羽運送㈱","ｵﾄﾊﾞｳﾝｿｳ","974-8232","福島県いわき市錦町落合80","","","0246-62-6070","0246-62-6070","","","1","社外","1","10円未満","1","切上","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00107     0200000","乙羽運送㈱","1","本社一括","3","明細毎外税","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00000     0600000","00000","","06","仙台営業所","00000","若林運送株式会社","仙台営業所","自社","ｼﾞｼｬ","","","","","","","","","2","社内","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","06","仙台営業所","00000     0600000","自社","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"00000     0700000","00000","","07","川崎営業所","00000","若林運送株式会社","川崎営業所","自社","ｼﾞｼｬ","","","","","","","","","2","社内","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","07","川崎営業所","00000     0700000","自社","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"00000     0800000","00000","","08","九州営業所","00000","若林運送株式会社","九州営業所","自社","ｼﾞｼｬ","","","","","","","","","2","社内","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","08","九州営業所","00000     0800000","自社","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"00103     0200000","00103","","02","小名浜営業所","00000","東曹産業㈱仙台工場","","東曹産業仙台工場","ﾄｳｿｳｻﾝｷﾞｮｳ","983-0001","宮城県仙台市宮城野区港4-12-17","業務課兼物流部","","022-259-6090","022-259-6089","","","1","社外","0","1円未満","2","四捨五入","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00103     0200000","東曹産業仙台工場","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00124     0100000","00124","","01","東京営業所","00000","株式会社日新","","株式会社日新","ﾆｯｼﾝ","","","","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","01","東京営業所","00124     0100000","株式会社日新","0","個別","2","請求一括","0","1円未満","0","切捨","4","車番毎","2","小計","01","自社","101","請求書B4 1行明細形式","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00126     0200000","00126","","02","小名浜営業所","00000","大郷運輸株式会社","","大郷運輸株式会社","ｵｵｻﾄｳﾝﾕ","985-0011","宮城県塩釜市貞山通三丁目20-1","","","022-361-0323","022-361-0320","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00126     0200000","大郷運輸株式会社","1","本社一括","3","明細毎外税","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20181005","110716","000001"
"00013     0200000","00013","","02","小名浜営業所","00000","乙羽通商㈱","","乙羽通商㈱","ｵﾄﾊﾞﾂｳｼｮｳ","974-8232","いわき市錦町落合69","","","0246-62-6439","0246-62-7213","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00013     0200000","乙羽通商㈱","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00130     0200000","00130","","02","小名浜営業所","00000","東西オイルターミナル株式会社","小名浜事業所","東西オイルターミ","ﾄｳｻﾞｲｵｲﾙ","971-8183","福島県いわき市泉町下川字大剣1-50","","","0246-56-2824","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00130     0200000","東西オイルターミ","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00133     0200000","00133","","02","小名浜営業所","00000","朝日化学工業(株)　東京支店","","朝日化学工業(株)","ｱｻﾋｶｶﾞｸｺｳｷ","103-0016","東京都中央区日本橋小網町1-8","","","03-6837-9270","03-6837-9272","","","1","社外","0","1円未満","2","四捨五入","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00133     0200000","朝日化学工業(株)","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00134     0200000","00134","","02","小名浜営業所","00000","大郷運輸株式会社","","大郷運輸　その他","ｵｵｻﾄｳﾝﾕ","985-0011","宮城県塩釜市貞山通三丁目20-1","","","022-361-0323","022-361-0320","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00134     0200000","大郷運輸　その他","0","個別","3","明細毎外税","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00136     0200000","00136","","02","小名浜営業所","00000","(株)岩田商会　仙台営業所","","(株)岩田商会　仙","ｲﾜﾀｼｮｳｶｲ","983-0852","宮城県仙台市宮城野区榴岡2-2-11","パスコ仙台ビル9Ｆ","","022-292-2270","022-292-2275","","","1","社外","0","1円未満","2","四捨五入","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00136     0200000","(株)岩田商会　仙","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00137     0200000","00137","","02","小名浜営業所","00000","メタル便","","メタル便","ﾒﾀﾙ","","","","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00137     0200000","メタル便","0","個別","3","明細毎外税","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00024     0200000","00024","","02","小名浜営業所","00000","堺化学工業（株）小名浜事業所","","堺化学工業(株)","ｻｶｲｶｶﾞｸ","971-8183","いわき市泉町下川字田宿110","","","0246-56-5111","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00024     0200000","堺化学工業(株)","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00027     0200000","00027","","02","小名浜営業所","00000","日化トレーディング株式会社","","日化ﾄﾚｰﾃﾞｨﾝｸﾞ㈱","ﾆｯｶﾄﾚｰﾃﾞｨ","971-8101","いわき市小名浜隼人50番地の4","","","0246-53-4222","0246-53-4658","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00027     0200000","日化ﾄﾚｰﾃﾞｨﾝｸﾞ㈱","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00003     0200000","00003","","02","小名浜営業所","00000","日本軽金属㈱","","日本軽金属㈱","ﾆﾎﾝｹｲｷﾝｿﾞｸ","975-0034","福島県原町市上渋佐字原田140","","","0244-22-4822","0244-24-6448","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00003     0200000","日本軽金属㈱","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00001     0200000","00001","","02","小名浜営業所","00000","クレハ運輸株式会社","いわき物流センター","クレハ運輸　請求","ｸﾚﾊｳﾝﾕ","974-8232","福島県いわき市錦町落合16","","","0246-63-2043","0246-53-2087","","","1","社外","1","10円未満","2","四捨五入","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00001     0200000","クレハ運輸　請求","1","本社一括","3","明細毎外税","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20231211","150715","000002"
"00039     0200000","00039","","02","小名浜営業所","00000","株式会社丸運トランスポート東日本","東北支店　小名浜営業所","丸運ﾄﾗﾝｽﾎﾟｰﾄ請求","ﾏﾙｳﾝﾄﾗﾝｽﾎﾟ","971-8183","福島県いわき市泉町下川大剣1-52","","","0246-75-0688","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00039     0200000","丸運ﾄﾗﾝｽﾎﾟｰﾄ請求","1","本社一括","3","明細毎外税","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00002     0200000","00002","","02","小名浜営業所","00000","(株)日新","","㈱日新　請求","ﾆｯｼﾝｾｲｷｭｳ","230-0053","横浜市鶴見区大黒町8-1","鶴見倉庫(株)物流センター内","","045-521-7011","045-521-7020","","","1","社外","0","1円未満","2","四捨五入","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00002     0200000","㈱日新　請求","1","本社一括","2","請求一括","0","1円未満","0","切捨","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180719","114031","000001"
"00046     0200000","00046","","02","小名浜営業所","00000","クレハ運輸㈱訂正分","","クレハ運輸訂正分","ｸﾚﾊｳﾝﾕ","","","","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00046     0200000","クレハ運輸訂正分","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00047     0200000","00047","","02","小名浜営業所","00000","株式会社丸運トランスポート東日本","東北支店　小名浜営業所","丸運　その他","ﾏﾙｳﾝﾄﾗﾝｽｿﾉ","985-0804","福島県いわき市泉町下川大剣1-52","","","0246-75-0688","","","","1","社外","0","1円未満","1","切上","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00047     0200000","丸運　その他","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00048     0200000","00048","","02","小名浜営業所","00000","タンク洗浄","","タンク洗浄","ﾀﾝｸｾﾝ","","","","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00048     0200000","タンク洗浄","0","個別","0","なし","0","1円未満","0","切捨","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00049     0200000","00049","","02","小名浜営業所","00000","若林運送（株）","","若林運送（株）","ﾜｶﾊﾞﾔ","132-0025","東京都江戸川区松江5-22-1","","","03-3680-6301","03-3680-6335","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00049     0200000","若林運送（株）","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00050     0200000","00050","","02","小名浜営業所","00000","回送","","回送","ｶｲｿｳ","","","","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00050     0200000","回送","0","個別","0","なし","0","1円未満","0","切捨","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00051     0100000","00051","","01","東京営業所","00000","吉田化学工業株式会社","","吉田化学","ﾖｼﾀﾞ","111-0023","東京都台東区橋場2-19-4","","","03-3875-0617","03-3875-0686","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","1","対象","0","対象外","0","対象外","1","対象","0","対象外","0","対象外","2","着日請求","01","東京営業所","00051     0100000","吉田化学","0","個別","2","請求一括","0","1円未満","0","切捨","4","車番毎","2","小計","01","自社","101","請求書B4 1行明細形式","","","","","","0","20180718","230156","SYSTEM","20221025","103447","000099"
